token	transliteration	segmentation	root
унесла	unesla	u nes l a	nes
унесли	unesli	u nes l i	nes
унеся	unesya	u nes ya	nes
универов	univerov	univer ov	univer
Университета	Universiteta	Universitet a	Universitet
уничтожено	unichtozheno	u nichtozh en o	nichtozh
уничтожила	unichtozhila	u nichtozh i l a	nichtozh
упомянутой	upomyanutoy	u pomya nu t oy	pomya
употребляли	upotreblyali	u potrebl ya l i	potrebl
Управлении	Upravlenii	U pravl eni i	pravl
ураганным	uragannym	uragan n ym	uragan
ураганом	uraganom	uragan om	uragan
уровне	urovne	u rovn e	rovn
уровни	urovni	u rovn i	rovn
уровня	urovnya	u rovn ya	rovn
Уроки	Uroki	Urok i	Urok
усилит	usilit	u sil it	sil
условие	usloviye	uslov i ye	uslov
условий	usloviy	uslov i y	uslov
условиями	usloviyami	uslov i yami	uslov
условиях	usloviyah	uslov i yah	uslov
услышал	uslyshal	u slysh a l	slysh
успел	uspel	uspe l	uspe
успешно	uspeshno	uspe <sh> n o	uspe
успешных	uspeshnyh	uspe <sh> n yh	uspe
установки	ustanovki	u stanov k i	stanov
утонувшего	utonuvshego	u to nu vsh ego	to
утопающих	utopayuschih	u top a yusch ih	top
уточняются	utochnyayutsya	u tochn ya yut sya	tochn
утра	utra	utr a	utr
ухудшения	uhudsheniya	u hudsh eni ya	hudsh
участием	uchastiyem	uchast i yem	uchast
ученым	uchenym	uch en ym	uch
учредителем	uchreditelem	uchred i tel em	uchred
ущерб	uscherb	uscherb	uscherb
фазовый	fazovyy	faz ov yy	faz
факт	fakt	fakt	fakt
Фашизм	Fashizm	Fash izm	Fash
февраля	fevralya	fevral ya	fevral
федеральных	federal'nyh	feder al'n yh	feder
фейерверков	feyyerverkov	feyyerverk ov	feyyerverk
физики	fiziki	fiz ik i	fiz
физические	fizicheskiye	fiz i<ch> esk iye	fiz
Физический	Fizicheskiy	Fiz i<ch> esk iy	Fiz
Филиппинах	Filippinah	Filippin ah	Filippin
фирма	firma	firm a	firm
фирмы	firmy	firm y	firm
Флориде	Floride	Florid e	Florid
фонда	fonda	fond a	fond
формах	formah	form ah	form
формируют	formiruyut	form ir u yut	form
фотографии	fotografii	foto graf i i	foto graf
Фотографии	Fotografii	Foto graf i i	Foto graf
фотографиях	fotografiyah	foto graf i yah	foto graf
Франции	Frantsii	Frants i i	Frants
футбольном	futbol'nom	fut bol' n om	fut bol'
Хабаровский	Habarovskiy	Habarov sk iy	Habarov
Хабаровского	Habarovskogo	Habarov sk ogo	Habarov
характер	harakter	harakter	harakter
характера	haraktera	harakter a	harakter
характерно	harakterno	harakter n o	harakter
хлоркой	hlorkoy	hlor k oy	hlor
ходе	hode	hod e	hod
хозяин	hozyain	hozya in	hozya
хозяина	hozyaina	hozya in a	hozya
хозяйственных	hozyaystvennyh	hozyay stv enn yh	hozyay
хоккею	hokkeyu	hokke yu	hokke
холодным	holodnym	holod n ym	holod
хотел	hotel	hot e l	hot
хотя	hotya	hotya	hotya
хотят	hotyat	hot yat	hot
храм	hram	hram	hram
хуже	huzhe	hu<zh> e	hu<zh>
целый	tselyy	tsel yy	tsel
Центральной	Tsentral'noy	Tsentr al'n oy	Tsentr
центре	tsentre	tsentr e	tsentr
циклоны	tsiklony	tsiklon y	tsiklon
цифру	tsifru	tsifr u	tsifr
частицы	chastitsy	chast its y	chast
частные	chastnyye	chast n yye	chast
частным	chastnym	chast n ym	chast
часть	chast'	chast'	chast'
Чаще	Chasche	Cha<sch> e	Cha<sch>
человек	chelovek	chelovek	chelovek
чемоданах	chemodanah	chemodan ah	chemodan
чемпионата	chempionata	chempion at a	chempion
четверг	chetverg	chetverg	chetverg
Четвертый	Chetvertyy	Chet v ert yy	Chet
чешские	cheshskiye	chesh sk iye	chesh
чёрная	chornaya	chorn aya	chorn
чилийским	chiliyskim	chiliy sk im	chiliy
чиновниками	chinovnikami	chin ov nik ami	chin
численности	chislennosti	chisl enn ost i	chisl
числятся	chislyatsya	chisl yat sya	chisl
чистое	chistoye	chist oye	chist
Читайте	Chitayte	Chit a y te	Chit
члена	chlena	chlen a	chlen
чрезвычайной	chrezvychaynoy	chrezvychay n oy	chrezvychay
чрезвычайных	chrezvychaynyh	chrezvychay n yh	chrezvychay
чрезмерного	chrezmernogo	chrez mer n ogo	mer
чувствовал	chuvstvoval	chu v stv ova l	chu
чужую	chuzhuyu	chuzh uyu	chuzh
шара	shara	shar a	shar
Швейцарию	Shveytsariyu	Shveytsar i yu	Shveytsar
шестерых	shesteryh	shest er yh	shest
шесть	shest'	shest'	shest'
шинелей	shineley	shinel ey	shinel
школьников	shkol'nikov	shkol' nik ov	shkol'
шла	shla	sh l a	sh
шпиль	shpil'	shpil'	shpil'
шпиля	shpilya	shpil ya	shpil
штатах	shtatah	shtat ah	shtat
штатов	shtatov	shtat ov	shtat
шторма	shtorma	shtorm a	shtorm
штормовая	shtormovaya	shtorm ov aya	shtorm
штормовым	shtormovym	shtorm ov ym	shtorm
эвакуация	evakuatsiya	evaku atsi ya	evaku
эвакуировали	evakuirovali	evaku ir ova l i	evaku
эвакуируют	evakuiruyut	evaku ir u yut	evaku
эквиваленте	ekvivalente	ekvivalent e	ekvivalent
эксперименте	eksperimente	eksperiment e	eksperiment
эксперты	eksperty	ekspert y	ekspert
экстерриториальный	eksterritorial'nyy	eks territori al'n yy	territori
экстренно	ekstrenno	ekstrenn o	ekstrenn
экстренной	ekstrennoy	ekstrenn oy	ekstrenn
экстренную	ekstrennuyu	ekstrenn uyu	ekstrenn
электропроводка	elektroprovodka	elektr o pro vod k a	elektr vod
электроэнергии	elektroenergii	elektr o energ i i	elektr energ
энергию	energiyu	energ i yu	energ
эпидемии	epidemii	epidem i i	epidem
Эпидемиологи	Epidemiologi	Epidemi o log i	Epidemi log
эпидемическим	epidemicheskim	epidem ichesk im	epidem
эпидемических	epidemicheskih	epidem ichesk ih	epidem
Эпидемия	Epidemiya	Epidem i ya	Epidem
эпизодами	epizodami	epizod ami	epizod
эпицентра	epitsentra	epi tsentr a	epi tsentr
Эритрее	Eritreye	Eritre ye	Eritre
Эстонии	Estonii	Eston i i	Eston
этаже	etazhe	etazh e	etazh
этажкам	etazhkam	etazh k am	etazh
этажке	etazhke	etazh k e	etazh
этап	etap	etap	etap
этапах	etapah	etap ah	etap
этапе	etape	etap e	etap
этими	etimi	et imi	et
Эфиопии	Efiopii	Efiop i i	Efiop
эффект	effekt	effekt	effekt
юга	yuga	yug a	yug
южных	yuzhnyh	yu<zh> n yh	yu<zh>
явились	yavilis'	yav i l i s'	yav
явлением	yavleniyem	yavl eni yem	yavl
ядерной	yadernoy	yader n oy	yader
Якутии	Yakutii	Yakut i i	Yakut
январе	yanvare	yanvar e	yanvar
января	yanvarya	yanvar ya	yanvar
