token	transliteration	segmentation
வாய்ப்பு	vaayppu	vaaypp u
வாய்ப்பை	vaayppai	vaaypp ai
வாரங்களுக்கு	vaarangalukku	vaara<n> gal ukku
வாரம்	vaaram	vaaram
வார்டுகளைச்	vaartuhalaich	vaartu hal ai ch
வார்த்தையின்	vaarththaiyin	vaarthth ai yin
வால்	vaal	vaal
வாழும்	vaazum	vaaz um
வாழ்க்கை	vaazhkkai	vaazh kkai
வாழ்த்து	vaazhththu	vaazh ththu
வாழ்வும்	vaazhvum	vaazh vum
வானிலை	vaanilai	vaani lai
வான்	vaan	vaan
வான்வழி	vaanvazi	vaan vazi
விசாரணை	visaaranai	visaa ran ai
விஞ்ஞானிகள்	vinynyaanihal	vinyn yaani hal
விட	vida	vida
விடியாத	vidiyaadha	vidi ya adha
விடுக்கப்படவில்லை	vidukkappadavillai	vidu kka ppada vill ai
விடுக்கப்பட்ட	vidukkappatta	vidu kka ppatta
விடுக்கப்பட்டன	vidukkappattana	vidu kka ppatta na
விடுக்கப்பட்டுள்ளது	vidukkappattulladhu	vidu kka ppatt ull adhu
விடுங்கள்	vidungal	vidun gal
விடுதியில்	vidudhiyil	vidu dhi yil
விடுத்தது	viduththadhu	vidu thth adhu
விடுத்துள்ள	viduththulla	vidu thth ulla
விடுத்துள்ளனர்	viduththullanar	vidu thth ulla nar
விட்டன	vittana	vittana
விதமாக	vidhamaaha	vidha maaha
வித்தியாசம்	viththiyaasam	viththi yaa sam
விபத்தில்	vibaththil	viba thth il
விபத்து	vibaththu	viba thth u
விபத்துக்கு	vibaththukku	viba ththu kku
விபத்துக்குள்ளான	vibaththukkullaana	viba ththu kkull aana
விபரங்களை	vibarangalai	viba ra<n> gal ai
விமானத்தில்	vimaanaththil	vimaana thth il
விமானப்படை	vimaanappadai	vimaana ppad ai
விமானம்	vimaanam	vimaana m
வியட்நாமை	viyatnaamai	viyat naam ai
வியாழன்	viyaazan	viyaa zan
விரட்ட	viratta	viratta
விரட்டியடித்தனர்	virattiyadiththanar	viratti yadi ththa nar
விருந்தது	virundhadhu	virun dha dhu
விரைந்து	viraindhu	virai ndhu
விரைவில்	viraivil	virai vil
விரைவு	viraivu	virai vu
விலக	vilaha	vila ha
விலக்கிக்	vilakkik	vila kki k
விலை	vilai	vilai
விலையை	vilaiyai	vilai yai
விவகாரத்தில்	vivahaaraththil	viva haara ththil
விவசாய	vivasaaya	viva saaya
விவசாயத்தின்	vivasaayaththin	viva saaya ththin
விவசாயம்	vivasaayam	viva saaya m
விவசாயி	vivasaayi	viva saayi
விவசாயிகளின்	vivasaayihalin	viva saayi hal in
விவசாயிகளுக்கு	vivasaayihalukku	viva saayi hal ukku
விவசாயிகளுக்கும்	vivasaayihalukkum	viva saayi hal ukku m
விவசாயிகள்	vivasaayihal	viva saayi hal
விவரங்களுக்கு	vivarangalukku	viva ra<n> gal ukku
விழிப்புடன்	vizippudan	vizipp udan
விழிப்புணர்வு	vizippunarvu	vizipp unar vu
விழுந்த	vizundha	vizu ndha
விழுந்ததால்	vizundhadhaal	vizu ndhadh aal
விழுந்தது	vizundhadhu	vizu ndha dhu
விழுந்தன	vizundhana	vizu ndhana
விழுந்து	vizundhu	vizu ndhu
விழுப்புரம்	vizuppuram	vizu ppur am
விளக்க	vilakka	vila kka
விளக்கம்	vilakkam	vila kka m
விளைவாக	vilaivaaha	vilai vaaha
விளைவுகள்	vilaivuhal	vilai vu hal
விற்பனை	virpanai	vir pan ai
விஜயம்	vijayam	vijay am
விஷயம்	vishayam	visha yam
வீசப்பட்டது	viisappattadhu	viisa ppatta dhu
வீசியதால்	viisiyadhaal	viisi yadhaal
வீசியது	viisiyadhu	viisi yadhu
வீசும்	viisum	viisu m
வீச்சுப்	viichchup	viichchu p
வீடு	viidu	viidu
வீடுகளின்	viiduhalin	viidu hal in
வீடுகளுக்குச்	viiduhalukkuch	viidu hal ukku ch
வீடுகளும்	viiduhalum	viidu hal um
வீடுகளை	viiduhalai	viidu ha lai
வீடுகளையும்	viiduhalaiyum	viidu hal ai yum
வீடுகள்	viiduhal	viidu hal
வீடும்	viidum	viidu m
வீட்டில்	viittil	viitt il
வீதி	viidhi	viidhi
வீதிகளில்	viidhihalil	viidhi hal il
வீதிகள்	viidhihal	viidhi hal
வீரர்	viirar	viir ar
வீழ்ச்சி	viizhchchi	viizh chchi
வீழ்த்திய	viizhththiya	viizh ththi ya
வெடி	vedi	vedi
வெடித்தது	vediththadhu	vedi ththa dhu
வெடிப்பு	vedippu	vedi ppu
வெப்ப	veppa	veppa
வெப்பத்தின்	veppaththin	veppa ththin
வெப்பநிலை	veppanilai	veppa nilai
வெப்பம்	veppam	veppa m
வெயிலின்	veyilin	veyil in
வெயில்	veyil	veyil
வெளிநாட்டு	velinaattu	veli naattu
வெளியாகியுள்ளது	veliyaahiyulladhu	veli yaahi yull adhu
வெளியான	veliyaana	veli yaana
வெளியுறவுத்துறை	veliyuravuththurai	veli yuravu ththur ai
வெளியே	veliyee	veli yee
வெளியேற	veliyeera	veli yeera
வெளியேறிய	veliyeeriya	veli yeeri ya
வெளியேறியது	veliyeeriyadhu	veli yeeri yadhu
வெளியேறுமாறு	veliyeerumaaru	veli yeeru maaru
வெளியேற்றம்	veliyeetram	veli yeetr am
வெள்ள	vella	vella
வெள்ளங்கள்	vellangal	vella<n> gal
வெள்ளத்	vellath	vella th
வெள்ளத்தால்	vellaththaal	vella thth aal
வெள்ளத்தில்	vellaththil	vella thth il
வெள்ளத்தினால்	vellaththinaal	vella thth in aal
வெள்ளத்தின்	vellaththin	vella thth in
வெள்ளநீரில்	vellaniiril	vella niir il
வெள்ளப்	vellap	vella p
வெள்ளப்பாதிப்படைந்தவர்களுக்கு	vellappaadhippadaindhavarkalukku	vella ppaadhi ppadai ndha var kal ukku
வெள்ளப்பெருக்கு	vellapperukku	vella pper ukku
வெள்ளம்	vellam	vella m
வெள்ளிக்கிழமை	vellikkizamai	velli kkiza mai
வேகத்தில்	veehaththil	veeha thth il
வேகமாக	veehamaaha	veeha m aaha
வேகம்	veeham	veeha m
வேண்டிக்	veentik	veenti k
வேண்டிய	veentiya	veenti ya
வேண்டுகோள்	veentuhool	veentu hool
வேண்டுமென்று	veentumenru	veentu menru
வேண்டும்	veentum	veentu m
வேதனைக்குரியது	veedhanaikkuriyadhu	vee dhanai kkuriya dhu
வேரோடு	veeroodu	vee roodu
வேலை	veelai	vee lai
வேளை	veelai	vee lai
வேற	veera	vee ra
வேறு	veeru	vee ru
வைக்கப்பட்டிருந்த	vaikkappattirundha	vaikka ppatt irundha
வைக்கப்பட்டு	vaikkappattu	vaikka ppattu
வைக்கப்பட்டுள்ளன	vaikkappattullana	vaikka ppatt ullana
வைக்கப்பட்டுள்ளனர்	vaikkappattullanar	vaikka ppatt ullan ar
வைக்கிறது	vaikkiradhu	vaikk iradhu
வைக்கும்	vaikkum	vaikk um
வைத்தது	vaiththadhu	vai ththa dhu
வைத்தனர்	vaiththanar	vai ththa nar
வைத்து	vaiththu	vai ththu
வைத்துப்	vaiththup	vai ththu p
ஜப்பானில்	jappaanil	jappaan il
ஜனாதிபதி	janaadhibadhi	jana adhi badhi
ஸ்கேலில்	skeelil	skeel il
ஹெலிகாப்டர்கள்	helihaaptarkal	helihaaptar kal
