token	transliteration-1	transliteration-2	segmentation_trans1	segmentation_trans2	root_trans1	root_trans2
बच्चा	bachhchhaa	bachchaa	bachhchh aa	bachch aa	bachhchh	bachch
बच्ची	bachhchhii	bachchii	bachhchh ii	bachch ii	bachhchh	bachch
बच्चे	bachhchhe	bachche	bachhchh e	bachch e	bachhchh	bachch
बच्चो	bachhchho	bachcho	bachhchh o	bachch o	bachhchh	bachch
बच्चों	bachhchhong	bachchong	bachhchh ong	bachch ong	bachhchh	bachch
बजा	bajaa	bajaa	baj aa	baj aa	baj	baj
बजाए	bajaae	bajaae	baj aa e	baj aa e	baj	baj
बजे	baje	baje	baj e	baj e	baj	baj
बंटवारा	bantavaaraa	bantavaaraa	bantavaar aa	bantavaar aa	bantavaar	bantavaar
बडा	badaa	badaa	bad aa	bad aa	bad	bad
बड़ा	baraa	baraa	bar aa	bar aa	bar	bar
बड़ा	baraa	baraa	bar aa	bar aa	bar	bar
बडी	badii	badii	bad ii	bad ii	bad	bad
बड़ी	barii	barii	bar ii	bar ii	bar	bar
बड़े	bare	bare	bar e	bar e	bar	bar
बड़े	bare	bare	bar e	bar e	bar	bar
बढ़	barh	barh	barh	barh	barh	barh
बढ़कर	barhkar	barhkar	barh kar	barh kar	barh	barh
बढ़ती	barhtii	barhtii	barh t ii	barh t ii	barh	barh
बढ़ा	barhaa	barhaa	barh aa	barh aa	barh	barh
बढ़ाकर	barhaakar	barhaakar	barh aa kar	barh aa kar	barh	barh
बढ़ाने	barhaane	barhaane	barh aa n e	barh aa n e	barh	barh
बढ़ाने	barhaane	barhaane	barh aa n e	barh aa n e	barh	barh
बढ़ावा	barhaavaa	barhaavaa	barh aa vaa	barh aa vaa	barh	barh
बढ़े	barhe	barhe	barh e	barh e	barh	barh
बता	bataa	bataa	bat aa	bat aa	bat	bat
बताए	bataae	bataae	bat aa e	bat aa e	bat	bat
बताते	bataate	bataate	bat aa t e	bat aa t e	bat	bat
बताया	bataayaa	bataayaa	bat aa yaa	bat aa yaa	bat	bat
बताये	bataaye	bataaye	bat aa ye	bat aa ye	bat	bat
बंद	band	band	band	band	band	band
बदनाम	badnaam	badnaam	bad naam	bad naam	badaam	badaam
बदल	badal	badal	badal	badal	badal	badal
बदलते	badalate	badalate	badala t e	badala t e	badala	badala
बदलने	badalane	badalane	badala n e	badala n e	badala	badala
बदले	badle	badle	badl e	badl e	badl	badl
बदलें	badleng	badleng	badl e ng	badl e ng	badl	badl
बदलेंगे	badalenge	badalenge	badal e n g e	badal e n g e	badal	badal
बदस्तूर	badastuur	badastuur	ba dastuur	ba dastuur	dastuur	dastuur
बन	ban	ban	ban	ban	ban	ban
बनने	banne	banne	ban n e	ban n e	ban	ban
बना	banaa	banaa	ban aa	ban aa	ban	ban
बनाई	banaaii	banaaii	ban aa ii	ban aa ii	ban	ban
बनाए	banaae	banaae	ban aa e	ban aa e	ban	ban
बनाएं	banaaeng	banaaeng	ban aa eng	ban aa eng	ban	ban
बनाकर	banaakar	banaakar	ban aa kar	ban aa kar	ban	ban
बनाता	banaataa	banaataa	ban aa t aa	ban aa t aa	ban	ban
बनाते	banaate	banaate	ban aa t e	ban aa t e	ban	ban
बनाने	banaane	banaane	ban aa n e	ban aa n e	ban	ban
बनाया	banaayaa	banaayaa	ban aa yaa	ban aa yaa	ban	ban
बनाये	banaaye	banaaye	ban aa ye	ban aa ye	ban	ban
बनी	banii	banii	ban ii	ban ii	ban	ban
बने	bane	bane	ban e	ban e	ban	ban
बरखा	barkhaa	barkhaa	barkh aa	barkh aa	barkh	barkh
बरबाद	barbaad	barbaad	barbaad	barbaad	barbaad	barbaad
बरसना	barasanaa	barasanaa	barasa n aa	barasa n aa	barasa	barasa
बरसी	barsii	barsii	bars ii	bars ii	bars	bars
बर्फ़	barf	barf	barf	barf	barf	barf
बर्फ़बारी	barfbaarii	barfbaarii	barf baar ii	barf baar ii	baar	baar
बर्बाद	barbaad	barbaad	barbaad	barbaad	barbaad	barbaad
बल	bal	bal	bal	bal	bal	bal
बलजीत	baljiit	baljiit	bal jiit	bal jiit	jiit	jiit
बलात्कार	balaatkaar	balaatkaar	balaat kaar	balaat kaar	kaar	kaar
बल्कि	balki	balki	balki	balki	balki	balki
बवंडर	bavandar	bavandar	bavandar	bavandar	bavandar	bavandar
बस	bas	bas	bas	bas	bas	bas
बंसल	bansal	bansal	bansal	bansal	bansal	bansal
बसों	basong	basong	bas ong	bas ong	bas	bas
बहाने	bahaane	bahaane	bah aa n e	bah aa n e	bah	bah
बहाल	bahaal	bahaal	bahaal	bahaal	bahaal	bahaal
बहुत	bahut	bahut	bahut	bahut	bahut	bahut
बाकी	baakii	baakii	baakii	baakii	baakii	baakii
बाक़ी	baaqii	baaqii	baaqii	baaqii	baaqii	baaqii
बागवानों	baagavaanong	baagavaanong	baagavaan ong	baagavaan ong	baagavaan	baagavaan
बांग्लादेश	baanglaadesh	baanglaadesh	baanglaa desh	baanglaa desh	desh	desh
बाजार	baajaar	baajaar	baajaar	baajaar	baajaar	baajaar
बांटा	baantaa	baantaa	baant aa	baant aa	baant	baant
बाढ़	baarh	baarh	baarh	baarh	baarh	baarh
बाढ़	baarh	baarh	baarh	baarh	baarh	baarh
बात	baat	baat	baat	baat	baat	baat
बाद	baad	baad	baad	baad	baad	baad
बादल	baadal	baadal	baadal	baadal	baadal	baadal
बांदा	baandaa	baandaa	baand aa	baand aa	baand	baand
बांध	baandh	baandh	baandh	baandh	baandh	baandh
बांधता	baandhataa	baandhataa	baandhataa	baandhataa	baandhataa	baandhataa
बाधित	baadhit	baadhit	baadh it	baadh it	baadh	baadh
बाप	baap	baap	baap	baap	baap	baap
बार	baar	baar	baar	baar	baar	baar
बारह	baarah	baarah	baarah	baarah	baarah	baarah
बारिश	baarish	baarish	baarish	baarish	baarish	baarish
बारे	baare	baare	baare	baare	baare	baare
बालू	baaluu	baaluu	baaluu	baaluu	baaluu	baaluu
बालूगंज	baaluuganj	baaluuganj	baaluu ganj	baaluu ganj	ganj	ganj
बावजूद	baavjuud	baavjuud	baavjuud	baavjuud	baavjuud	baavjuud
बाहर	baahar	baahar	baahar	baahar	baahar	baahar
बिखरा	bikhraa	bikhraa	bikhr aa	bikhr aa	bikhr	bikhr
बिखरे	bikhre	bikhre	bikhr e	bikhr e	bikhr	bikhr
बिखेरा	bikheraa	bikheraa	bikher aa	bikher aa	bikher	bikher
बिजली	bijlii	bijlii	bijl ii	bijl ii	bijl	bijl
बिदाई	bidaaii	bidaaii	bidaa ii	bidaa ii	bidaa	bidaa
बिना	binaa	binaa	binaa	binaa	binaa	binaa
बिल	bil	bil	bil	bil	bil	bil
बिलकुल	bilkul	bilkul	bilkul	bilkul	bilkul	bilkul
बिल्कुल	bilkul	bilkul	bilkul	bilkul	bilkul	bilkul
बिस्तर	bistar	bistar	bistar	bistar	bistar	bistar
बिस्तरों	bistarong	bistarong	bistar ong	bistar ong	bistar	bistar
बीच	biichh	biich	biichh	biich	biichh	biich
बीतने	biitne	biitne	biit n e	biit n e	biit	biit
बीबीसी	biibiisii	biibiisii	biibiisii	biibiisii	biibiisii	biibiisii
बीमा	biimaa	biimaa	biim aa	biim aa	biim	biim
बीमार	biimaar	biimaar	biimaar	biimaar	biimaar	biimaar
बीमारी	biimaarii	biimaarii	biimaar ii	biimaar ii	biimaar	biimaar
बुखार	bukhaar	bukhaar	bukhaar	bukhaar	bukhaar	bukhaar
बुधवार	budhvaar	budhvaar	budh vaar	budh vaar	vaar	vaar
बुरी	burii	burii	bur ii	bur ii	bur	bur
बूभन	buubhan	buubhan	buubhan	buubhan	buubhan	buubhan
बेचने	bechhne	bechne	bechh n e	bech n e	bechh	bech
बेचे	bechhe	beche	bechh e	bech e	bechh	bech
बेटियां	betiyaang	betiyaang	bet iy aang	bet iy aang	bet	bet
बेटियों	betiyong	betiyong	bet iy ong	bet iy ong	bet	bet
बेटी	betii	betii	bet ii	bet ii	bet	bet
बेदाग	bedaag	bedaag	be daag	be daag	daag	daag
बेमौसम	bemausam	bemausam	be mausam	be mausam	mausam	mausam
बेरोजगारी	berojagaarii	berojagaarii	be rojagaar ii	be rojagaar ii	rojagaar	rojagaar
बेसब्री	besabrii	besabrii	be sabr ii	be sabr ii	sabr	sabr
बेहतर	behtar	behtar	behtar	behtar	behtar	behtar
बेहद	behad	behad	be had	be had	had	had
बेहाल	behaal	behaal	be haal	be haal	behaal	behaal
बैंक	baink	baink	baink	baink	baink	baink
बैंकों	bainkong	bainkong	baink ong	baink ong	baink	baink
बैठे	baithe	baithe	baith e	baith e	baith	baith
बोल	bol	bol	bol	bol	bol	bol
भक्ति	bhakti	bhakti	bhakti	bhakti	bhakti	bhakti
भगत	bhagat	bhagat	bhagat	bhagat	bhagat	bhagat
भगदड़	bhagdar	bhagdar	bhagdar	bhagdar	bhagdar	bhagdar
भगवान	bhagvaan	bhagvaan	bhagvaan	bhagvaan	bhagvaan	bhagvaan
भड़काने	bharkaane	bharkaane	bhark aa n e	bhark aa n e	bhark	bhark
भयंकर	bhayankar	bhayankar	bhayankar	bhayankar	bhayankar	bhayankar
भयानक	bhayaanak	bhayaanak	bhayaanak	bhayaanak	bhayaanak	bhayaanak
भर	bhar	bhar	bhar	bhar	bhar	bhar
भरा	bharaa	bharaa	bhar aa	bhar aa	bhar	bhar
भरी	bharii	bharii	bhar ii	bhar ii	bhar	bhar
भले	bhale	bhale	bhal e	bhal e	bhal	bhal
भविष्य	bhavishy	bhavishy	bhavishy	bhavishy	bhavishy	bhavishy
भाई	bhaaii	bhaaii	bhaaii	bhaaii	bhaaii	bhaaii
भाग	bhaag	bhaag	bhaag	bhaag	bhaag	bhaag
भाड़	bhaar	bhaar	bhaar	bhaar	bhaar	bhaar
भारतीय	bhaartiiy	bhaartiiy	bhaart iiy	bhaart iiy	bhaart	bhaart
भारी	bhaarii	bhaarii	bhaarii	bhaarii	bhaarii	bhaarii
भाव	bhaav	bhaav	bhaav	bhaav	bhaav	bhaav
भावनाओं	bhaavanaaong	bhaavanaaong	bhaavanaa ong	bhaavanaa ong	bhaavanaa	bhaavanaa
भावपूर्ण	bhaavpuurn	bhaavpuurn	bhaavpuurn	bhaavpuurn	bhaavpuurn	bhaavpuurn
भी	bhii	bhii	bhii	bhii	bhii	bhii
भीतर	bhiitar	bhiitar	bhiitar	bhiitar	bhiitar	bhiitar
भीषण	bhiishan	bhiishan	bhiishan	bhiishan	bhiishan	bhiishan
भूकंप	bhuukamp	bhuukamp	bhuu kamp	bhuu kamp	kamp	kamp
भूकम्प	bhuukamp	bhuukamp	bhuu kamp	bhuu kamp	kamp	kamp
भूकम्‍प	bhuukamp	bhuukamp	bhuu kamp	bhuu kamp	kamp	kamp
भूख	bhuukh	bhuukh	bhuukh	bhuukh	bhuukh	bhuukh
भूगर्भविज्ञानियों	bhuugarbhavijnaaniyong	bhuugarbhavijnaaniyong	bhuu garbha vi jnaan iy ong	bhuu garbha vi jnaan iy ong	jnaan	jnaan
भूगर्भिक	bhuugarbhik	bhuugarbhik	bhuu garbh ik	bhuu garbh ik	garbh	garbh
भूत	bhuut	bhuut	bhuut	bhuut	bhuut	bhuut
भूमि	bhuumi	bhuumi	bhuumi	bhuumi	bhuumi	bhuumi
भूमिका	bhuumikaa	bhuumikaa	bhuumi kaa	bhuumi kaa	bhuumi	bhuumi
भूलना	bhuulnaa	bhuulnaa	bhuul n aa	bhuul n aa	bhuul	bhuul
भूस्खलन	bhuuskhalan	bhuuskhalan	bhuu skhalan	bhuu skhalan	skhalan	skhalan
भूस्वखलन	bhuusvakhalan	bhuusvakhalan	bhuu svakhalan	bhuu svakhalan	svakhalan	svakhalan
भेजना	bhejnaa	bhejnaa	bhej n aa	bhej n aa	bhej	bhej
भेजी	bhejii	bhejii	bhej ii	bhej ii	bhej	bhej
भेजे	bheje	bheje	bhej e	bhej e	bhej	bhej
भेंट	bhent	bhent	bhent	bhent	bhent	bhent
भेदभाव	bhedbhaav	bhedbhaav	bhed bhaav	bhed bhaav	bhaav	bhaav
भोजन	bhojan	bhojan	bhojan	bhojan	bhojan	bhojan
भ्रष्ट	bhrasht	bhrasht	bhrasht	bhrasht	bhrasht	bhrasht
मकान	makaan	makaan	makaan	makaan	makaan	makaan
मक्का	makkaa	makkaa	makk aa	makk aa	makk	makk
मगर	magar	magar	magar	magar	magar	magar
मंगलवार	mangalavaar	mangalavaar	mangala vaar	mangala vaar	vaar	vaar
मची	machhii	machii	machh ii	mach ii	machh	mach
मचेगी	machhegii	machegii	machh e g ii	mach e g ii	machh	mach
मच्छर	machhchhar	machchhar	machhchhar	machchhar	machhchhar	machchhar
मजदूर	majduur	majduur	majduur	majduur	majduur	majduur
मजदूरों	majaduurong	majaduurong	majaduur ong	majaduur ong	majaduur	majaduur
मजबूत	majbuut	majbuut	majbuut	majbuut	majbuut	majbuut
मजबूती	majabuutii	majabuutii	majabuut ii	majabuut ii	majabuut	majabuut
मजबूर	majbuur	majbuur	majbuur	majbuur	majbuur	majbuur
मजबूरियों	majabuuriyong	majabuuriyong	majabuur iy ong	majabuur iy ong	majabuur	majabuur
मंजर	manjar	manjar	manjar	manjar	manjar	manjar
मंजिल	manjil	manjil	manjil	manjil	manjil	manjil
मंजिला	manjilaa	manjilaa	manjil aa	manjil aa	manjil	manjil
मतदान	matdaan	matdaan	mat daan	mat daan	matdaan	matdaan
मतलब	matlab	matlab	matlab	matlab	matlab	matlab
मंत्रालय	mantraalay	mantraalay	mantr aalay	mantr aalay	aalay	aalay
मंत्री	mantrii	mantrii	mantrii	mantrii	mantrii	mantrii
मदद	madad	madad	madad	madad	madad	madad
मध्य	madhy	madhy	madhy	madhy	madhy	madhy
मध्यम	madhyam	madhyam	madhyam	madhyam	madhyam	madhyam
मन	man	man	man	man	man	man
मनुष्य	manushy	manushy	manushy	manushy	manushy	manushy
मनोकामना	manokaamanaa	manokaamanaa	mano kaamanaa	mano kaamanaa	kaamanaa	kaamanaa
मर	mar	mar	mar	mar	mar	mar
मरने	marne	marne	mar n e	mar n e	mar	mar
मरनेवालों	maranevaalong	maranevaalong	mara n e vaal ong	mara n e vaal ong	vaal	vaal
मरीजों	mariijong	mariijong	mariij ong	mariij ong	mariij	mariij
मरे	mare	mare	mar e	mar e	mar	mar
मर्ग	marg	marg	marg	marg	marg	marg
मर्जी	marjii	marjii	marj ii	marj ii	marj	marj
मर्माहत	marmaahat	marmaahat	marm aahat	marm aahat	aahat	aahat
मलबा	malbaa	malbaa	malb aa	malb aa	malb	malb
मलबे	malbe	malbe	malb e	malb e	malb	malb
मवेशियों	maveshiyong	maveshiyong	mavesh iy ong	mavesh iy ong	mavesh	mavesh
मस्जिद	masjid	masjid	masjid	masjid	masjid	masjid
महत्व	mahatv	mahatv	mahatv	mahatv	mahatv	mahatv
महत्वपूर्ण	mahatvapuurn	mahatvapuurn	mahatva puurn	mahatva puurn	mahatvapuurn	mahatvapuurn
महफिल	mahphil	mahphil	mahphil	mahphil	mahphil	mahphil
महफूज	mahphuuj	mahphuuj	mahphuuj	mahphuuj	mahphuuj	mahphuuj
महबूबा	mahabuubaa	mahabuubaa	mahabuubaa	mahabuubaa	mahabuubaa	mahabuubaa
महसुस	mahsus	mahsus	mahsus	mahsus	mahsus	mahsus
महसूस	mahsuus	mahsuus	mahsuus	mahsuus	mahsuus	mahsuus
महात्मा	mahaatmaa	mahaatmaa	maha atmaa	maha atmaa	atmaa	atmaa
महाराष्ट्र	mahaaraashtr	mahaaraashtr	mahaa raashtr	mahaa raashtr	raashtr	raashtr
महासागर	mahaasaagar	mahaasaagar	mahaa saagar	mahaa saagar	saagar	saagar
महिला	mahilaa	mahilaa	mahilaa	mahilaa	mahilaa	mahilaa
महिलाएं	mahilaaeng	mahilaaeng	mahilaa eng	mahilaa eng	mahilaa	mahilaa
महीने	mahiine	mahiine	mahiin e	mahiin e	mahiin	mahiin
मा	maa	maa	maa	maa	maa	maa
माँ	maang	maang	maang	maang	maang	maang
माई	maaii	maaii	maaii	maaii	maaii	maaii
मांग	maang	maang	maang	maang	maang	maang
मांगता	maangataa	maangataa	maanga t aa	maanga t aa	maanga	maanga
मात	maat	maat	maat	maat	maat	maat
मातम	maatam	maatam	maatam	maatam	maatam	maatam
माता	maataa	maataa	maataa	maataa	maataa	maataa
मातौर	maataur	maataur	maataur	maataur	maataur	maataur
मात्र	maatr	maatr	maatr	maatr	maatr	maatr
मान	maan	maan	maan	maan	maan	maan
मानते	maante	maante	maan t e	maan t e	maan	maan
मानना	maannaa	maannaa	maan n aa	maan n aa	maan	maan
मानव	maanav	maanav	maanav	maanav	maanav	maanav
मानवीय	maanviiy	maanviiy	maanv iiy	maanv iiy	maanv	maanv
मानसिक	maansik	maansik	maans ik	maans ik	maans	maans
माना	maanaa	maanaa	maan aa	maan aa	maan	maan
मानी	maanii	maanii	maan ii	maan ii	maan	maan
मापदण्ड	maapdand	maapdand	maap dand	maap dand	dand	dand
माफ	maaph	maaph	maaph	maaph	maaph	maaph
माफी	maaphii	maaphii	maaph ii	maaph ii	maaph	maaph
माफ़ी	maafii	maafii	maaf ii	maaf ii	maaf	maaf
मामले	maamle	maamle	maaml e	maaml e	maaml	maaml
मार	maar	maar	maar	maar	maar	maar
मारकर	maarkar	maarkar	maar kar	maar kar	maar	maar
मारने	maarne	maarne	maar n e	maar n e	maar	maar
मारा	maaraa	maaraa	maar aa	maar aa	maar	maar
मारी	maarii	maarii	maar ii	maar ii	maar	maar
मारे	maare	maare	maar e	maar e	maar	maar
मार्ग	maarg	maarg	maarg	maarg	maarg	maarg
मार्शल	maarshal	maarshal	maarshal	maarshal	maarshal	maarshal
माल	maal	maal	maal	maal	maal	maal
मालूम	maaluum	maaluum	maaluum	maaluum	maaluum	maaluum
मिट	mit	mit	mit	mit	mit	mit
मिटाने	mitaane	mitaane	mit aa n e	mit aa n e	mit	mit
मित्रों	mitrong	mitrong	mitr ong	mitr ong	mitr	mitr
मियाग	miyaag	miyaag	miyaag	miyaag	miyaag	miyaag
मिल	mil	mil	mil	mil	mil	mil
मिलती	miltii	miltii	mil t ii	mil t ii	mil	mil
मिलते	milte	milte	mil t e	mil t e	mil	mil
मिलने	milne	milne	mil n e	mil n e	mil	mil
मिला	milaa	milaa	mil aa	mil aa	mil	mil
मिलाने	milaane	milaane	mil aa n e	mil aa n e	mil	mil
मिली	milii	milii	mil ii	mil ii	mil	mil
मिलेगी	milegii	milegii	mil e g ii	mil e g ii	mil	mil
मुकाबले	mukaabale	mukaabale	mukaabal e	mukaabal e	mukaabal	mukaabal
मुक्त	mukt	mukt	mukt	mukt	mukt	mukt
मुखिया	mukhiyaa	mukhiyaa	mukhiyaa	mukhiyaa	mukhiyaa	mukhiyaa
मुख्य	mukhy	mukhy	mukhy	mukhy	mukhy	mukhy
मुख्यमंत्री	mukhyamantrii	mukhyamantrii	mukhya mantrii	mukhya mantrii	mantrii	mantrii
मुख्यालय	mukhyaalay	mukhyaalay	mukhy aalay	mukhy aalay	aalay	aalay
मुझको	mujhko	mujhko	mujh ko	mujh ko	mujh	mujh
मुझे	mujhe	mujhe	mujh e	mujh e	mujh	mujh
मुताबिक	mutaabik	mutaabik	mutaabik	mutaabik	mutaabik	mutaabik
मुद्दा	muddaa	muddaa	mudd aa	mudd aa	mudd	mudd
मुद्दे	mudde	mudde	mudd e	mudd e	mudd	mudd
मुनाफे	munaaphe	munaaphe	munaaph e	munaaph e	munaaph	munaaph
मुमकिन	mumkin	mumkin	mumkin	mumkin	mumkin	mumkin
मुल्क	mulk	mulk	mulk	mulk	mulk	mulk
मुश्किल	mushkil	mushkil	mushkil	mushkil	mushkil	mushkil
मुश्कें	mushkeng	mushkeng	mushk eng	mushk eng	mushk	mushk
मुसलमान	musalamaan	musalamaan	musalamaan	musalamaan	musalamaan	musalamaan
मुसलमानों	musalamaanong	musalamaanong	musalamaan ong	musalamaan ong	musalamaan	musalamaan
मुस्कुराये	muskuraaye	muskuraaye	muskur aa ye	muskur aa ye	muskur	muskur
मुस्तैद	mustaid	mustaid	mustaid	mustaid	mustaid	mustaid
मुस्तैदी	mustaidii	mustaidii	mustaid ii	mustaid ii	mustaid	mustaid
मुस्लिम	muslim	muslim	muslim	muslim	muslim	muslim
मुस्लिमों	muslimong	muslimong	muslim ong	muslim ong	muslim	muslim
मुंह	munh	munh	munh	munh	munh	munh
मुंहतोड़	munhtor	munhtor	munh tor	munh tor	tor	tor
मुहल्ला	muhallaa	muhallaa	muhall aa	muhall aa	muhall	muhall
मुहावरे	muhaavare	muhaavare	muhaavar e	muhaavar e	muhaavar	muhaavar
मूत्र	muutr	muutr	muutr	muutr	muutr	muutr
मूंदे	muunde	muunde	muund e	muund e	muund	muund
मूमल	muumal	muumal	muumal	muumal	muumal	muumal
मृत्यु	mrityu	mrityu	mrit yu	mrit yu	mrityu	mrityu
में	meng	meng	meng	meng	meng	meng
मेरा	meraa	meraa	mer aa	mer aa	mer	mer
मेरी	merii	merii	mer ii	mer ii	mer	mer
मेरे	mere	mere	mer e	mer e	mer	mer
मेले	mele	mele	mel e	mel e	mel	mel
मैं	maing	maing	maing	maing	maing	maing
मैदान	maidaan	maidaan	maidaan	maidaan	maidaan	maidaan
मैंने	mainne	mainne	main ne	main ne	maine	maine
मौका	maukaa	maukaa	mauk aa	mauk aa	mauk	mauk
मौके	mauke	mauke	mauk e	mauk e	mauk	mauk
मौजूदगी	maujuudagii	maujuudagii	maujuud ag ii	maujuud ag ii	maujuud	maujuud
मौजूदा	maujuudaa	maujuudaa	maujuud aa	maujuud aa	maujuud	maujuud
मौजूदादौर	maujuudaadaur	maujuudaadaur	maujuud aa daur	maujuud aa daur	daur	daur
मौत	maut	maut	maut	maut	maut	maut
मौतों	mautong	mautong	maut ong	maut ong	maut	maut
मौलिक	maulik	maulik	maulik	maulik	maulik	maulik
मौसम	mausam	mausam	mausam	mausam	mausam	mausam
यथासंभव	yathaasambhav	yathaasambhav	yathaa sam bhav	yathaa sam bhav	bhav	bhav
यदि	yadi	yadi	yadi	yadi	yadi	yadi
यह	yah	yah	yah	yah	yah	yah
यहाँ	yahaang	yahaang	yahaang	yahaang	yahaang	yahaang
यहां	yahaang	yahaang	yahaang	yahaang	yahaang	yahaang
यही	yahii	yahii	yah ii	yah ii	yah	yah
या	yaa	yaa	yaa	yaa	yaa	yaa
यातायात	yaataayaat	yaataayaat	yaat aa yaat	yaat aa yaat	yaat	yaat
यात्रा	yaatraa	yaatraa	yaatraa	yaatraa	yaatraa	yaatraa
यात्रियों	yaatriyong	yaatriyong	yaatriy ong	yaatriy ong	yaatriy	yaatriy
यात्री	yaatrii	yaatrii	yaatrii	yaatrii	yaatrii	yaatrii
यानी	yaanii	yaanii	yaanii	yaanii	yaanii	yaanii
युक्त	yukt	yukt	yukt	yukt	yukt	yukt
युद्ध	yuddh	yuddh	yuddh	yuddh	yuddh	yuddh
युद्धस्तर	yuddhastar	yuddhastar	yuddha star	yuddha star	star	star
युवराज	yuvraaj	yuvraaj	yuv raaj	yuv raaj	raaj	raaj
ये	ye	ye	ye	ye	ye	ye
योजना	yojnaa	yojnaa	yojnaa	yojnaa	yojnaa	yojnaa
योजनाओं	yojanaaong	yojanaaong	yojanaa ong	yojanaa ong	yojanaa	yojanaa
रकम	rakam	rakam	rakam	rakam	rakam	rakam
रक्तस्रावी	raktasraavii	raktasraavii	raktasraavii	raktasraavii	raktasraavii	raktasraavii
रक्षा	rakshaa	rakshaa	rakshaa	rakshaa	rakshaa	rakshaa
रख	rakh	rakh	rakh	rakh	rakh	rakh
रखती	rakhtii	rakhtii	rakh t ii	rakh t ii	rakh	rakh
रखते	rakhte	rakhte	rakh t e	rakh t e	rakh	rakh
रखने	rakhne	rakhne	rakh n e	rakh n e	rakh	rakh
रखा	rakhaa	rakhaa	rakh aa	rakh aa	rakh	rakh
रखें	rakheng	rakheng	rakh eng	rakh eng	rakh	rakh
रंगमंच	rangamanchh	rangamanch	ranga manchh	ranga manch	manchh	manch
रद्द	radd	radd	radd	radd	radd	radd
रवाना	ravaanaa	ravaanaa	ravaa n aa	ravaa n aa	ravaa	ravaa
रविवार	ravivaar	ravivaar	ravi vaar	ravi vaar	vaar	vaar
रह	rah	rah	rah	rah	rah	rah
रहता	rahtaa	rahtaa	rah t aa	rah t aa	rah	rah
रहती	rahtii	rahtii	rah t ii	rah t ii	rah	rah
रहते	rahte	rahte	rah t e	rah t e	rah	rah
रहना	rahnaa	rahnaa	rah n aa	rah n aa	rah	rah
रहा	rahaa	rahaa	rah aa	rah aa	rah	rah
रही	rahii	rahii	rah ii	rah ii	rah	rah
रहे	rahe	rahe	rah e	rah e	rah	rah
रहें	raheng	raheng	rah e ng	rah e ng	rah	rah
रहेंगे	rahenge	rahenge	rah e n g e	rah e n g e	rah	rah
राउत	raaut	raaut	raaut	raaut	raaut	raaut
राच	raachh	raach	raachh	raach	raachh	raach
राज	raaj	raaj	raaj	raaj	raaj	raaj
राजधानी	raajadhaanii	raajadhaanii	raaja dhaanii	raaja dhaanii	dhaanii	dhaanii
राजनीति	raajaniiti	raajaniiti	raaja niiti	raaja niiti	niiti	niiti
राजनीतिक	raajaniitik	raajaniitik	raaja niiti k	raaja niiti k	niiti	niiti
राजनैतिक	raajanaitik	raajanaitik	raaja naiti k	raaja naiti k	niiti	niiti
राजमार्ग	raajmaarg	raajmaarg	raaj maarg	raaj maarg	maarg	maarg
राज्य	raajy	raajy	raajy	raajy	raajy	raajy
राज्यों	raajyong	raajyong	raajy ong	raajy ong	raajy	raajy
रात	raat	raat	raat	raat	raat	raat
रानी	raanii	raanii	raan ii	raan ii	raan	raan
राशन	raashan	raashan	raashan	raashan	raashan	raashan
राशि	raashi	raashi	raashi	raashi	raashi	raashi
राष्ट्र	raashtr	raashtr	raashtr	raashtr	raashtr	raashtr
राष्ट्रपति	raashtrapati	raashtrapati	raashtra pati	raashtra pati	pati	pati
राष्ट्रवादी	raashtravaadii	raashtravaadii	raashtra vaad ii	raashtra vaad ii	vaad	vaad
राष्ट्रीय	raashtriiy	raashtriiy	raashtr iiy	raashtr iiy	raashtr	raashtr
रास्ता	raastaa	raastaa	raast aa	raast aa	raast	raast
रास्ते	raaste	raaste	raast e	raast e	raast	raast
राह	raah	raah	raah	raah	raah	raah
राहत	raahat	raahat	raahat	raahat	raahat	raahat
रिपटों	riptong	riptong	ript ong	ript ong	ript	ript
रिपोर्टरों	riportarong	riportarong	riportar ong	riportar ong	riportar	riportar
रिपोर्टों	riportong	riportong	riport ong	riport ong	riport	riport
रुप	rup	rup	rup	rup	rup	rup
रुपए	rupe	rupe	rup e	rup e	rup	rup
रुपये	rupye	rupye	rupy e	rupy e	rupy	rupy
रूद्र	ruudr	ruudr	ruudr	ruudr	ruudr	ruudr
रूप	ruup	ruup	ruup	ruup	ruup	ruup
रूसवा	ruusvaa	ruusvaa	ruusv aa	ruusv aa	ruusv	ruusv
रूसी	ruusii	ruusii	ruus ii	ruus ii	ruus	ruus
रोक	rok	rok	rok	rok	rok	rok
रोकटोक	roktok	roktok	rok tok	rok tok	tok	tok
रोकथाम	rokthaam	rokthaam	rok thaam	rok thaam	thaam	thaam
रोकने	rokne	rokne	rok n e	rok n e	rok	rok
रोजाना	rojaanaa	rojaanaa	roj aanaa	roj aanaa	roj	roj
रोटी	rotii	rotii	rot ii	rot ii	rot	rot
रोयेंगा	royengaa	royengaa	ro ye n g aa	ro ye n g aa	ro	ro
रोहित	rohit	rohit	rohit	rohit	rohit	rohit
लक्ष्य	lakshy	lakshy	lakshy	lakshy	lakshy	lakshy
लगता	lagtaa	lagtaa	lag t aa	lag t aa	lag	lag
लगती	lagtii	lagtii	lag t ii	lag t ii	lag	lag
लगभग	lagbhag	lagbhag	lag bhag	lag bhag	bhag	bhag
